[2026-08-31 20:46:29] OYUN | OnlyVan: merhaba -> Merhaba! Knight Network'e hoş geldin. Sana nasıl yardımcı olabilirim? [CACHE]
[2026-08-31 20:56:00] OYUN | OnlyVan: merhaba -> Merhaba! Ben LivaMC Helper. LivaMC sunucusuyla ilgili merak ettiğin her konuda sana yardımcı olabilirim. Nasıl yardımcı olabilirim?
[2026-08-31 20:56:34] OYUN | OnlyVan: merhaba -> Merhaba! Ben LivaMC Helper. LivaMC sunucusuyla ilgili merak ettiğin her konuda sana yardımcı olabilirim. Nasıl yardımcı olabilirim? [CACHE]
[2026-08-31 20:56:56] OYUN | OnlyVan: bu plugin ne -> LivaMC, özel olarak geliştirilmiş bir SMP (survival multiplayer) sunucusudur. Sunucudaki sistemler (ekonomi, hazine, maaş, takım, görevler vb.) oyunculara özgün bir deneyim sunmak için özel olarak kurgulanmıştır. Belirli bir plugin isminden ziyade, sunucunun kendi oyun mekanikleri ve sistemleri mevcuttur. Daha fazla bilgi için /menu yazarak tüm sistemleri inceleyebilirsin.
[2026-08-31 21:03:07] OYUN | OnlyVan: envanter koruma nedir -> LivaMC'de envanter koruma sistemi bulunmamaktadır. Ölürsen eşyaların yere düşer, bu yüzden değerli eşyalarını Ender sandığında saklaman en güvenli yoldur. Ayrıca savaş etiketin varken oyundan çıkarsan karakterin ölür ve eşyaların yine yere düşer.
[2026-08-31 21:07:13] OYUN | OnlyVan: envanter koruma nedir -> LivaMC'de envanter koruma sistemi bulunmamaktadır. Ölürsen eşyaların yere düşer, bu yüzden değerli eşyalarını Ender sandığında saklaman en güvenli yoldur. Ayrıca savaş etiketin varken oyundan çıkarsan karakterin ölür ve eşyaların yine yere düşer. [CACHE]
[2026-08-31 21:09:17] OYUN | OnlyVan: envanter koruma nedir -> Envanter koruma, bir kereliğine ölümden korunmanı sağlayan ve web sitemizden (livamc.com) satın alabileceğin bir haktır. Koruman açıkken öldüğünde eşyaların, zırhın ve yan elindeki eşyalar yere düşmez, üzerinde kalır.  Bu hak tek kullanımlıktır; korunan bir ölümden sonra hakkın biter ve koruma otomatik kapanır. Korumanı oyun içinde /envanterkoruma komutuyla açıp kapatabilirsin. Unutma, korumayı savaş başlamadan önce aktifleştirmen gerekir, savaş etiketi aldığında koruma açılmaz.
[2026-09-01 19:33:08] OYUN | OnlyVan: para nasıl kazanırım -> LivaMC'de para kazanmanın birçok yolu var:  - Günlük görevler: /gunlukgorev ile her gün belirlenen 3 eşyayı toplayıp satabilirsin. - Sipariş panosu: /order ile diğer oyuncuların taleplerini karşılayabilirsin. - Ticaret: /ah üzerinden eşyalarını satabilir veya /market ile sunucu mağazasını kullanabilirsin. - Maaş: Her gece 00:00'da seviyene göre hazineden maaş alırsın. - Etkinlikler: Saatlik yarışları (/yaris) kazanarak ödül alabilirsin.  Yeni başladıysan /gunlukgorev ve /order en hızlı ve sermaye gerektirmeyen yöntemlerdir.
[2026-09-03 00:14:18] OYUN | HeraAndZeus: nasılsınnn -> İyiyim, teşekkür ederim! Sen nasılsın? LivaMC ile ilgili sormak istediğin bir şey olursa sana yardımcı olmaktan mutluluk duyarım.
[2026-09-03 00:14:31] OYUN | OnlyVan: para nasıl kazanılır -> LivaMC'de para kazanmanın birçok yolu var:  - Günlük görevler: /gunlukgorev ile her gün belirlenen 3 eşyayı toplayıp satmak. - Sipariş panosu: /order ile diğer oyuncuların açtığı talepleri karşılamak. - Açık artırma: /ah ile kendi eşyalarını diğer oyunculara satmak. - Sunucu mağazası: /market üzerinden eşya satmak. - Gece maaşı: Her gece 00:00'da seviyene göre hazineden pay almak. - Saatlik yarış: /yaris etkinliğini kazanmak. - Pazaryeri: Siteden dükkân kiralayıp 7/24 satış yapmak.  Yeni başladıysan /gunlukgorev ve /order en hızlı yollardır, sermaye istemezler.
[2026-09-03 00:52:09] OYUN | zellyraa: sunucu sabah kaç çekiyor? -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-03 00:52:35] OYUN | zellyraa: skinim neden yok? -> Sunucumuzda skinlerin görünmesi için orijinal Minecraft hesabına sahip olman gerekir. Eğer orijinal hesabınla giriş yapmana rağmen skinin görünmüyorsa, bu konuda elimde başka bir bilgi yok; bir yetkiliye Discord üzerinden danışabilirsin.
[2026-09-03 00:53:29] OYUN | zellyraa: allah varmı -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-03 00:53:43] OYUN | zellyraa: ataturk kac yılında kurulmuştur -> Bu konuda elimde bilgi yok, bir yetkiliye danışabilirsin.
[2026-09-03 02:25:51] ADMIN | KONSOL: nasılsın -> Teşekkürler, iyiyim! LivaMC'de sana nasıl yardımcı olabilirim?
[2026-09-03 02:25:58] ADMIN | KONSOL: nerelerdesin yaşın kaç -> Ben LivaMC sunucusunun resmi yardım asistanıyım, sunucunun içindeyim ve sana yardım etmek için buradayım. Yapay zeka olduğum için yaşım yok, LivaMC dünyasında oyunculara rehberlik etmek için görevliyim.
