[2026-09-08 14:47:16] Pixsel__Eymen | olu gruptan nıye cıktın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 14:48:40] Clexiy4164 | mace kk adankordi nasıl tekrar öğrenebilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 14:55:26] theselim | bu çömlek parçaları işe yarıyor mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 14:57:50] maceswap | basene hangi ismi koyduysan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:00:13] KadirHB | saldırı diye büyü mü var | enyakin=buyu-masasi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 15:00:31] empsie | tiyırın kac işte maceswap | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:01:31] empsie | bu suya niye giremioom | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:06:20] Ramazan6414 | hasanmc kaç tane lazım | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:07:05] Ramazan6414 | hasanmc bende 18 tane var ne kadar verirsin | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:08:22] theselim | xxxmsl kim la | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:10:54] Eymennotfounddm | rehber nasıl olunur | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:12:27] Ramazan6414 | niye öldün a | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:16:24] maceswap | nerde anahtar anlamadım | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 15:29:08] Clexiy4164 | sohbeti nasıl kapatarak ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:33:57] OverLord | kalbin kac | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:34:13] OverLord | kac kalbin var | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:42:58] zeynepol | ben kazma falan nası alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:44:56] OverLord | eymen neden | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:46:01] zeynepol | ben kazma nası alcam | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:47:04] maceswap | evet oyle olması gerekmiyormu ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:48:45] OverLord | eymen esyaları alcak mısn ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:50:36] OverLord | lagsmp mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:52:49] Eymennotfounddm | benimle arkada olacaklar mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:53:00] Eymennotfounddm | benle arkadaş olacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:55:25] Nosstalgia_ | benle vs atmican mı yani | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:55:34] Clexiy4164 | Home yazdım da bunu nasıl silerim geri | enyakin=ev-home puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 15:56:55] Nosstalgia_ | bende elmas kes 5 kır 3 var vs atak mı öldürmeyiz birbirimizi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 15:57:28] iamjuba71 | nasıl para kasabilirim | enyakin=para-kazanma puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 16:01:04] maceswap | atmalı ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:03:18] Clexiy4164 | over lord evi̇mi̇ puanlarmi̇ai̇n tpa ati̇p yeni̇ ev yapti̇mda | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 16:08:46] Nosstalgia_ | kötü kehanet le mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:09:15] Nosstalgia_ | hala orda mısın ben bi tpa atsam benim anahtarlar varda açsam onları olur mu | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 16:14:06] Nosstalgia_ | harbi mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:20:56] RivalWheel8582 | clexiy niye öyle birşey yaptın dostuk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:24:03] Eymennotfounddm | kanka bir tane daha şeyimiz çıkaralım mı mace | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:24:53] YusufStyle | rehber admininne zaman gelceni biliyonmu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:25:04] OverLord | ben hemen ulastırıırm kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:26:47] RivalWheel8582 | bu nasıl iş eşyalarım gitti | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:27:42] OverLord | kim clex den trap yedi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:28:17] OnlyVan | kanıt var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:34:46] RivalWheel8582 | adam salisede allah bilir kaç vuruyor | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:36:31] WellOrca | yönetici kazma tekrar nerden alırım yoksa gidiymi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:38:59] Alderakis | nasıl kasa açarım | enyakin=kasa puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 16:42:33] Luccifer1254803 | rehber bura niye bu kadar değişik | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:42:35] veosi | nasıl afk kalacam | enyakin=kristal puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 16:44:59] Nosstalgia_ | sülfür kübünü 30k ya alcak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:48:30] Hasanmc91 | aha esya katinca en sona dusuyo sacmq degil mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:52:59] egemen1559 | şey günlük elmas set mi dagitiiuo overlod abi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 16:53:39] egemen1559 | günlük elmas set mi dagitiliyo | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:13:08] Ordek_kral17 | nasıl çıkcaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:15:13] Beyaztt | eşya verebilecek var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:16:10] Ordek_kral17 | adamsın nasıl harcicaz | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:17:38] OverLord | luci kim gordunmu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:18:15] Ordek_kral17 | admin kim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:19:26] egemen1559 | sorun değil abide peki ne zamana verirsin tekrar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:26:24] Beyaztt | bana eşya verebilecek var mı hiç bi şey yok bende öldüm | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:27:03] Hasanmc91 | domuz sp var mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:27:51] OverLord | batu takımın var ? | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:35:35] Luccifer1254803 | yönetici tp olur musun | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:38:44] Luccifer1254803 | nasıl gelcem | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:39:01] KRAL31524882 | kanma ben nasıl takımlı oynayabilirim | enyakin=takim puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:39:33] Luccifer1254803 | nasıl g3lcemyq dj varmı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:39:49] OverLord | nasıl gelcegibi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:40:44] Luccifer1254803 | kim yaktı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:42:51] Beyaztt | admin envanterimizdekileri satabiliyoz mu | enyakin=envanter-koruma puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:46:03] Choso | arkadaşlar mjlauncherden oynuyorum kamera hassasiyetini nerden artıracak | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:48:16] Nosstalgia_ | vs atacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:48:55] Nosstalgia_ | vs atacak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:49:00] Nosstalgia_ | vs atacak var mı? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:51:16] Nosstalgia_ | spler kırılıyo mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:51:58] Serkan_3793 | rehber sana tp atiyimmi ? | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:53:55] Nosstalgia_ | vs atcak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:54:29] Serkan_3793 | rehber sana nasıl tp atacam yazsana alo | enyakin=isinlanma-istegi puan=1 sebep=SINYAL_ZAYIF
[2026-09-08 17:56:54] Nosstalgia_ | vs gelen var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 17:59:12] Nosstalgia_ | vs atcak var mı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:02:03] kyrosrfl | elmaslarım nerdeee | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:03:48] kyrosrfl | abi kim aldı benım elmasımı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:06:50] Luccifer1254803 | eŝqö nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:06:58] Luccifer1254803 | eşyam nerde | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:08:01] Ahmetenes256924 | bunu kim yaptı | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:09:01] OverLord | serkan kac | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:11:13] OverLord | set yapcam sen kac burdan | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:12:43] KRAL31524882 | kanka ya ben sürekli lobiye gidiyorum geri dünyaya geldiyimde beni başka yere atiyor ben bunu nasıl yapabilirim | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:14:15] egemen1559 | nası oluyo bu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:14:18] KRAL31524882 | kanma ben lobiye gittiyimde sonra geri dünyaya geldiyimde beni başka yere atiyor onu nasıl ayarlaniyor rehber | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:18:01] OverLord | kral nası yani | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:18:40] OverLord | kral o nasıl bisey ya | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:22:03] OverLord | ahmet 1 st zümrüt üstüne kac versem salarsın | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:24:46] kyrosrfl | buldun mu elytra | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:28:54] OverLord | ne kadar | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:33:56] HamzaSquid | servet la?m | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:40:36] Faxley | bunu nası bulduk | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:42:34] Serkan_3793 | rehber burada xp kasiyimmi ? | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:43:34] kyrosrfl | boyle olunca warden mi var aynısına gıtmıstım ben | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:52:07] SmellOfGoal | tanesine mi | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:52:29] SmellOfGoal | 70k olsun mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:53:14] SmellOfGoal | 67k ya olur mu | enyakin=- puan=0 sebep=ESLESME_YOK
[2026-09-08 18:53:38] SmellOfGoal | nasıl anlaşcaz ben bilmiyom | enyakin=- puan=0 sebep=ESLESME_YOK
